,content,sentimen
904,game plagiat,0.0
905,game plagiat mobile legend,0.0
906,Update terbaru membuatnya lebih mantap,1.0
907,Ada sedikit bug nya,0.0
908,Hero-nya beragam dan sangat menghibur,1.0
909,Game plagiat game jelek game tolol,0.0
910,game nya bagus,1.0
911,enak game ini,1.0
912,Seru bgt game nya udah lagi Hero nya Kawai Kawai ga kayak game sebelah,1.0
913,keren gak kek game sebelah banyak drak sistem,1.0
914,Grafiknya bagus dan memukau,1.0
915,Dark sistem semua,0.0
916,Developer sangat oke dalam update,1.0
917,Kerenan ml,0.0
918,"Bagus banget, saya suka sekali",1.0
919,GAME BAGUSSS,1.0
920,"game ya bagus, semoga kedepannya peminatnya makin rame.",1.0
921,Mantap betul event nya ga kaya game sebelah (kikir legend,1.0
922,Gamenya baik sekali,1.0
923,"Game pelagiat gak bisa ber kerasi sendiri ,,,,,,,😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡🤬😡",0.0
924,Stak gak bisa login,0.0
925,Keren gk kek game sebelahnya,1.0
926,Sebaiknya jngan terlalu merendahkan mlbb game baru kok ngelunjak,0.0
927,Sangat oke untuk dimainkan setiap hari,1.0
928,sagt bgus,1.0
929,Game nya jelek dan musuhnya terlalu gampang,0.0
930,Bagus banget soalnya langsung MVP!!,1.0
931,"rumput kurang tebal,dan tatanan hero terlalu rapat jadi bingggung milih hero",0.0
932,Ringan bagus,1.0
933,Skill hero sangat bagus dan unik,1.0
934,Oke lh,1.0
935,"Game keren, bye bye MLBB",1.0
936,Mantap gamenya. ga sperti game sbelah kebanyakan darksistem,1.0
937,sangat bagus,1.0
938,Komunitasnya aktif dan bagus sekali,1.0
939,Game nya bagus banget ga sabar pengen coba hero dolia,1.0
940,bagusan ini,1.0
941,Sistem pertarungan sangat oke dan adiktif,1.0
942,"Kalo iklan game emang harus ya nyenggol game sebelah,tolong dong kami user game sebelah tidak pernah tuh menjelek-jelekkan game kalian, Tolong dong rasa respek nya ya Terima kasih",0.0
943,Game yang seru dan menarik,1.0
944,keren bos,1.0
945,Game susah menang saya di kasih team jelek terus kalah sampe 20 kali ada,0.0
946,bagus game ny,1.0
947,Sangat seru,1.0
948,ok la,1.0
949,game ini sangat seru,1.0
950,GAME JELEK BANYAK BOT BEBAN,0.0
951,Selamat ya game baik bisa jadi top 1 playstore dan appstore.,1.0
952,Sangat bagus💯,1.0
953,Mantap banget game nya lebih bagus dari game sebelah,1.0
954,ringan ga berat. kereeen,1.0
955,Permainan Sangat Bagus,1.0
956,game sangat bagus,1.0
957,bagus realistis walau mirip mllbb,1.0
958,game baik,1.0
959,Bagus banget,1.0
960,Berkembang terus HOK,1.0
961,"Tolong di perbaiki, saya sudah punya akun di hok tapi tiba-tiba tidak bisa masuk dan tulisan yang muncul adalah eror",0.0
962,Skill hero sangat bagus dan unik,1.0
963,Lebih seru ini dari pada mobile legends,1.0
964,Plagiyat wkwk,0.0
965,Gamenya sangat bagus untuk dimainkan,1.0
966,Kontrolnya mantap dan responsif,1.0
967,game yg sangat bagus,1.0
968,Honor of king sangat baik dengan mengirimkan skin gratis kepada saya👍,1.0
969,Skill hero sangat bagus dan unik,1.0
970,Cukup berat untuk HP spek rendah,0.0
971,games nya oke.. grafik oke....,1.0
972,gamenya bgus banget keren lu broo,1.0
973,Seru bet anjirrr lebih seru dari game sebalah,1.0
974,Satu kata jelek,0.0
975,Saya sangat cinta game hok,1.0
976,ngeframe pas di tampat cari Mach gua nunggu 30 menit masih ngerafame,0.0
977,aku suka main game ini,1.0
978,Game ini sangat oke dan seru,1.0
979,Game plagiat,0.0
980,menyenangkan g ribet g bikin emosi. ok!!!,1.0
981,Oke banyak Hero gratis,1.0
982,Sering putus koneksi ke server,0.0
983,Memuaskan para pemain 🥰🥰🥰 semoga jadi gemes no 1 di dunia 🙏,1.0
984,bagus dan seru,1.0
985,Gem nya ngikutin ml,0.0
986,Tolong perbaiki sistem jaringan...sebab jaringan bagus tapi ping sangat tinggi.,0.0
987,Kontrolnya mantap dan responsif,1.0
988,Update terbaru membuatnya lebih mantap,1.0
989,Komunitasnya aktif dan bagus sekali,1.0
990,"Mekanik nya gak jelas, mending main ml anjim😡😡",0.0
991,game ter tolol,0.0
992,mantap moba in8,1.0
993,"Gamenya bagus , grafik nya juga bagus . Top lah",1.0
994,GAME KOK PLAGIAT,0.0
995,Gameplaynya mantap dengan strategi tinggi,1.0
996,Game ini benar-benar mantap!,1.0
997,Aku sangat menyukai game ini game ini sangat bagus,1.0
998,"Yang kurang adalah matchmaking yang sangat... Saat musuh biasa aja temen gak bisa main,saat temen lumayan jago musuhnya jago banget akir nya hampir gak pernah menang",0.0
999,game nya bagus terima kasih Tencent,1.0
1000,"bagus tapi kadang ngelag bahkan ngelag bgt, sampai hapus download terus karna kesal",0.0
1001,Gg gamenya👍🏾 GK kayak mlbb banyak tim bot 😒😒,1.0
1002,Goblog game peniru huuuu,0.0
1003,"minus kebanyakan hero nama cina, susah ngafalin nya",0.0
1004,Sangat oke untuk dimainkan setiap hari,1.0
1005,"Halah tampilan nya masih bagus ml, mending lebih di modifikasi biar gak burik tampilannya",0.0
1006,Niruu mll woyy,0.0
1007,Cakepan ml,0.0
1008,Developer sangat oke dalam update,1.0
1009,𝚂𝚊𝚗𝚐𝚊𝚝 𝚋𝚊𝚐𝚞𝚜,1.0
1010,Gameplaynya mantap dengan strategi tinggi,1.0
1011,Kacau ini game tier diamon ketemu tim ampas mulu,0.0
1012,sangat bagus,1.0
1013,Game dengan voice chat terbagus pokoknya bisa nglahin ml,1.0
1014,bagus banget,1.0
1015,game nya melebihi game sebelah😂 mantap lah ok,1.0
1016,asik sih,1.0
1017,Gasuka grafik nya buriq bagusan mlbb huu game buriq,0.0
1018,Lebih gak lag daripada MLBB,1.0
1019,Event dalam game sangat menghibur,1.0
1020,Grafiknya bagus dan memukau,1.0
1021,game nya keren abis .....,1.0
1022,Gameplaynya mantap dengan strategi tinggi,1.0
1023,Game nya bagus banget aku suka grafiknya bagus kali kalian wajib download nih,1.0
1024,"TERBAIK GAME DARIPADA MOBILE LEGENDS, GRAFIK OKE",1.0
1025,"Ringan, jarang lag, rekomendasi banget sih",1.0
1026,keren mudah dipahami,1.0
1027,Gameplaynya mantap dengan strategi tinggi,1.0
1028,Ini saya sudah 2x top up tapi gagal. Saldo sudah tersedot. Tolong bantuannya,0.0
1029,Game nya susah sering kalah muluk jadi cepet bosen main nya,0.0
1030,GAME NYA BAGUS,1.0
1031,Jangan di download. Pas naik rank bakal dikasih tim bot kalian.,0.0
1032,Sering ngelag di tengah permainan,0.0
1033,Kurangin size nya,0.0
1034,Semoga lancar dan bagus,1.0
1035,keren banget,1.0
1036,Event-eventnya sangat oke dan menarik,1.0
1037,Komunitasnya aktif dan bagus sekali,1.0
1038,Game ini sangat bgus dan banyak skin gratisnya dan cara dapatnya cuman login aja,1.0
1039,Event dalam game sangat menghibur,1.0
1040,bagus dan simpel,1.0
1041,lebih bagus dari ml,1.0
1042,mantap gamenya,1.0
1043,"grafik nya majapahit,kaku gitu menurut gw yaa",0.0
1044,Pertarungannya seru dan menghibur banget,1.0
1045,Event dalam game sangat menghibur,1.0
1046,Ya game nya sangat bagus apalagi suaranya,1.0
1047,"Game parah ngga imbang sama sekali musuh di beri yang bisa main, lah gua di kasih beban mulu, sia"" rasanya top up di sini..",0.0
1048,Game ini benar-benar mantap!,1.0
1049,Update terbaru membuatnya lebih mantap,1.0
1050,Kontrolnya mantap dan responsif,1.0
1051,Event dalam game sangat menghibur,1.0
1052,Pertarungannya seru dan menghibur banget,1.0
1053,Hero-nya beragam dan sangat menghibur,1.0
1054,gamenya bagus dan tidak lag,1.0
1055,lebih seru ML,0.0
1056,Game ny gak bagus game rusak,0.0
1057,GAME INI BAGUS DAN KEREN 👍👍👍,1.0
1058,ok juga,1.0
1059,Gem nya plagiat,0.0
1060,Developer sangat oke dalam update,1.0
1061,Mantap dah!,1.0
1062,"Game burik,iklan pake nyenggol,plagiat wkwkwkwkw game apaan dah ini😹",0.0
1063,Kontrolnya mantap dan responsif,1.0
1064,Gamenya Bagus Aku Sangat Suka,1.0
1065,game nya seru dan banyak teman mabar,1.0
1066,Kontrolnya mantap dan responsif,1.0
1067,grafiknya lebih bagus dari mlbb,1.0
1068,mending ml,0.0
1069,"tidak kikir, mantap",1.0
1070,Efek suaranya mantap dan keren,1.0
1071,"Mantap,banyak skin gratis",1.0
1072,Sistem pertarungan sangat oke dan adiktif,1.0
1073,Hero-nya beragam dan sangat menghibur,1.0
1074,Banyak dark system,0.0
1075,bagus tapi lama kelamaan bosan hehe :),0.0
1076,Skill hero sangat bagus dan unik,1.0
1077,Game ga pelit 🫶🫶🫶,1.0
1078,Game Babi HD Nya Gk Keren Kek Ml,0.0
1079,Makasih game baik,1.0
1080,game ini sangat tidak bagus,0.0
1081,Game ini terlalu banyak BOT bermain di rank tinggi,0.0
1082,"Bagus banget, saya suka sekali",1.0
1083,mohon tombol geraknya..g ada yg tetap,0.0
1084,bagus banget game nya,1.0
1085,Gameplaynya mantap dengan strategi tinggi,1.0
1086,Gila game ini ga ada dark sistemnya dan juga lebih bagus dari pada mobile legend,1.0
1087,Game ini benar-benar mantap!,1.0
1088,"Keren gamenya, developernya juga ga pelit ngasih skin, ga kaya game sebelah, ngasih skin normal aja syaratnya bertele-tele banget😹🤭",1.0
1089,Banyak dark sistem,0.0
1090,Game ini rekomended banget,1.0
1091,Gk suka aj,0.0
1092,game nya bagus👍👍,1.0
1093,Sinyal bagus ping bagus banyak hadiah buat player baru ini game bagus,1.0
1094,sangat baguss,1.0
1095,Skill hero sangat bagus dan unik,1.0
1096,Update terbaru membuatnya lebih mantap,1.0
1097,bagus sih game nya menurut saya,1.0
1098,Lebih seruan game ini daripada mlbb,1.0
1099,Seru bgt coy permainan ny mirip sama ml aku kasih bintang lima ya,1.0
1100,tolong untuk HOK bisa ga kasih kawan yg adil buat player solo masa menang sekali doang,0.0
1101,grafiknya keren,1.0
1102,Game bagus 😍,1.0
1103,"Logind nya lama, truss klo bisa jangan niruin ml lahh awok",0.0
1104,Sangat kurang bagus map nya,0.0
1105,Game banyak skin bgs GK sprt ml,1.0
1106,game seruu,1.0
1107,Sangat seru sekali main ini kalian harus cobain,1.0
1108,keren aku bahkan dah top up,1.0
1109,"Maap ah mau hapus lagi aja, ngelag nya kaga tahan, lebih parah dari game sebelah.. bahkan di lobby pun ngelag, gamenya oke cuma ngelag Mulu anjim",0.0
1110,Grafiknya burik dan tidak realistis,0.0
1111,"Kenapa jadi mentok di loading om, awal"" lnacar",0.0
1112,seru sihh,1.0
1113,Mohon Perbaiki bug analog bug nya sangat menggangu,0.0
1114,"emblem, build, grafis, gameplay harus lebih smooth lagi gerakannya",0.0
1115,Developer sangat oke dalam update,1.0
1116,Event dalam game sangat menghibur,1.0
1117,Gameplaynya mantap dengan strategi tinggi,1.0
1118,menyenangkan dan sangat seru,1.0
1119,bagus lah banget heronya Banyak Monster Jungle Juga,1.0
1120,Sangat menghibur dan tidak membosankan,1.0
1121,Gamenya sangat bagus untuk dimainkan,1.0
1122,Gameplaynya monoton dan membosankan,0.0
1123,Banyak makan paket data game nya meskipun udah di download semua,0.0
1124,Event dalam game sangat menghibur,1.0
1125,Tingkatkan lagi kualitas dan kuantitas nya hok.,0.0
1126,Developer sangat oke dalam update,1.0
1127,tolong perbaiki jaringan kadang hijau kadang Kuning tiba merah sering frame lagi asik war tiba sinyal merah tolong jaringan di perbaiki terima kasih,0.0
1128,sangat cocok untuk saya,1.0
1129,bagus aja,1.0
1130,jelek ngeleg,0.0
1131,saya suka,1.0
1132,"Sedikit ngelag kak, tolong perbaiki lagi jaringannya",0.0
1133,Skill hero sangat bagus dan unik,1.0
1134,Sistem pertarungan sangat oke dan adiktif,1.0
1135,bagus seru,1.0
1136,Event dalam game sangat menghibur,1.0
1137,Gameplaynya mantap dengan strategi tinggi,1.0
1138,game ngikutin gw kasih 0 burik banyak iklan mending ml dasar game ngikutin huu,0.0
1139,Grafiknya bagus dan memukau,1.0
1140,Combo skill kaku banget! Damage per hero gak balance.,0.0
1141,Pergerakan karakter masih kaku dan untuk map nya bisa ditingkatkan grafik nya,0.0
1142,lebih baik,1.0
1143,bagus dan aku suka,1.0
1144,Game bagus dan seru,1.0
1145,Ml lebih bagus,0.0
1146,Minimal kalo mau niru mobile legens lancar lah game nya di loby lag bangr,0.0
1147,"game ini kereeeen ,,,,",1.0
1148,"Sehat sehat game baik, ga pelit lagi 😋.",1.0
1149,Sip game baguss aku suka,1.0
1150,Aku gak suka lebih suka ml,0.0
1151,Game ini sangat oke dan seru,1.0
1152,Mantap Kali !!!,1.0
1153,Game nya bagus,1.0
1154,Gem Nya Sangat bagus,1.0
1155,Sekarang Lemot pas awal dwld mah kagak 💀,0.0
1156,Game ini sangat oke dan seru,1.0
1157,"jaringan udah oke, tapi kadang masih suka pindah ke data internet walau koneksi wifi udah kuat, jadinya putus di tengah match dan ga bisa masuk lagi (dan akhirnya ga sengaja afk ;D)",0.0
1158,Game ini benar-benar mantap!,1.0
1159,asli main dihp kentang lancar banget ... mantap tencent ... jangan abaikan player yang hp nya spek rendah ... agar bisa main hok,1.0
1160,sangat bagusssss,1.0
1161,Tolong team fight nya di perbaiki agar mendapatkan team yang adil.,0.0
1162,gamenya keren banget,1.0
1163,Kenapa main hok ini penggunaan data nya boros bnget siihh...,0.0
1164,keren skali game nya,1.0
1165,Sangat bagus game ini keren😉😉,1.0
1166,masih bingung untuk pengaturan di in game,0.0
1167,Game paling bagus 👍😍,1.0
1168,"Loading screen terlalu lama dan jaringannya selalu merah tolong di perbaiki lagi, dan juga saya selalu dapat tim keras kepala dan egois, mohon sistem nya di perbaiki lagi",0.0
1169,Sistem pertarungan sangat oke dan adiktif,1.0
1170,seru banget game nya,1.0
1171,Game ini sangat oke dan seru,1.0
1172,Cuihhhh game haram kok di mainkan lebih bagus ml hd gak kaya hok grafik ya burik,0.0
1173,semoga hok lebih baik lagi ya ges,1.0
1174,Game burik masih lelet,0.0
1175,Efek suaranya mantap dan keren,1.0
1176,kerenn ini,1.0
1177,Plagiat ML,0.0
1178,gem yang sangat menyenangkan dan tidak akan bosen 😊😍😍✨✨...,1.0
1179,Hero nya keren²,1.0
1180,Grafiknya bagus dan memukau,1.0
1181,Dasar mengikuti ml dasar,0.0
1182,"Bagus banget, saya suka sekali",1.0
1183,"lebih bagus dari MobileLegend, bnyk event menarik dan gratis dan tidak dark system",1.0
1184,"Game nya bagus tpi aku pribadi masih bingung mana emblem hyper sama tank nya dan lain, mungkin aku masih baru kemungkin main nya . Dan satu lagi grafik nya kurang dan jga sinyal bagus tpi masih kek ngeleg gitu padahal tdi nya gk ngeleg .",0.0
1185,"hp spek rendah bisa main, semoga tetap seperti ini",1.0
1186,ok sangat baik,1.0
1187,Bug nya tolong di perbaiki masa saya Gk bisa masuk gara2 langsung keluar pas setel Arcana nge freez,0.0
1188,Udah bagus banyakin lagi heronya,1.0
1189,keren seru banget,1.0
1190,terlalu sering ngelek sama banyak iklan,0.0
1191,Hero-nya beragam dan sangat menghibur,1.0
1192,"Kurangilah Dark sistemnya,cape gw gendong mulu",0.0
1193,game yg seru dimainkan,1.0
1194,"Tolong perbaiki jaringannya, karena terkadang ping langsung drop merah kuning hijau",0.0
1195,aku suka,1.0
1196,Mantap Bangat Serius Kalian patut download gem ini,1.0
1197,Game plagiat,0.0
1198,Suara iklannya bikin budeg puqi,0.0
1199,Gamenya sangat bagus untuk dimainkan,1.0
1200,sangat keren,1.0
1201,Game ini benar-benar mantap!,1.0
1202,game baik,1.0
1203,lumayan bagus,1.0
1204,bagus grafiknya bgus,1.0
1205,Komunitasnya aktif dan bagus sekali,1.0
1206,Ada bug di tutorial. Saya mempunyai fidio bug nya,0.0
1207,Hero-nya beragam dan sangat menghibur,1.0
1208,garfik nya bagus,1.0
1209,Game terlalu burik dari pada ml udah sosoan,0.0
1210,Skill hero sangat bagus dan unik,1.0
1211,honor of king game moba terbaik sekaramg,1.0
1212,Game bagus,1.0
1213,baguuss game nyaa dari padaaa mlbb,1.0
1214,Update terbaru membuatnya lebih mantap,1.0
1215,Event dalam game sangat menghibur,1.0
1216,"game terlalu dark system,tidak pernah mendapatkan tim yang seimbang",0.0
1217,Kontrolnya mantap dan responsif,1.0
1218,Game sampah,0.0
1219,Game seru banget tapi kadang suka ngeleg padahal wifi lancar,0.0
1220,bagus banget pokonyA,1.0
1221,Gamenya sangat bagus untuk dimainkan,1.0
1222,"Oke karna gamenya sangat seru dan juga seimbang, tidak pernah bertemu dark sistem jadi gw kasih bintang 5",1.0
1223,"Bagus banget, saya suka sekali",1.0
1224,Hei apalah kgk usah nyindir game sebelah bisa gak sih niat banget nyindirnya as🤬,0.0
1225,game nya sangat bagus,1.0
1226,Sistem pertarungan sangat oke dan adiktif,1.0
1227,game dajal gini gua main kok kalah terus ampe balik ke platinum game dajal babi game busuk,0.0
1228,Game nya lebih bagus dibandingkan dengan mlbb,1.0
1229,Game nya banyak dark sistem lebih menantang(satu team dark sistem),0.0
1230,"Tolong temukan dengan lawan yang sebadan , lawan ku jagi jago dan timku tolol semua",0.0
1231,"Main di master kayak main di epic playernya tolol tolol mau dari negara mana aja,matchmaking kacau amburadul walau gak egois kayak game ML tapi dapet tim pasti di bawah musuh terus tier nya",0.0
1232,"Bagus banget, saya suka sekali",1.0
1233,Event dalam game sangat mengecewakan,0.0
1234,Event dalam game sangat menghibur,1.0
1235,Game nya bagus sering serìng event gratisan,1.0
1236,game bagus,1.0
1237,game ini bagus sekali soalnya banyak karakter bagus,1.0
1238,mantap lebih baik daripada ml,1.0
1239,Game ini benar-benar mantap!,1.0
1240,bagus sih,1.0
1241,BAGUS RINGAN,1.0
1242,Event dalam game sangat menghibur,1.0
1243,agak berat sih daripada emel,0.0
1244,Sangat oke untuk dimainkan setiap hari,1.0
1245,bagus gameny,1.0
1246,Terimakasih telah memberikan banyak hadiah,1.0
1247,seru sekali dan banyak sekali hero hero yang unik,1.0
1248,"seru game gamenya, banyak hadiah juga ga kayak game sebelah hehe",1.0
1249,Game nya ikut ikut mlbb,0.0
1250,Game ini jaringan jelek skali. Di perbaiki lah. Jngan bikin malu aja. Lebih bagus jaringan game mobile legend dari pada game ini.,0.0
1251,Game baik 😁,1.0
1252,Game ini sangat oke dan seru,1.0
1253,Ini game yang membuat saya senang setiap hari-hari,1.0
1254,Game burik ngikuti mlbb taii,0.0
1255,"game buajingaaaannnn, matchmaking ampas",0.0
1256,Reward harian sangat menghibur dan menarik,1.0
1257,Game burik,0.0
1258,"Dipertengahan permainan tiba"" keluar sendiri tolong perbaiki",0.0
1259,"Omong kosong semua,game nya kaku,lagnya,ga puas main,masa di batasi memilih Lane game,game burik",0.0
1260,Sangat oke untuk dimainkan setiap hari,1.0
1261,geme nya seru,1.0
1262,ok 👍,1.0
1263,bagus banget 😭😭 saya sampai ketagihan 😁,1.0
1264,sangat bagus,1.0
1265,"Game haram jaringan ilang ilangg padahal jaringan ku baguss ,tim nya juga tolol sistem KD nya anehh yang mvp malah yang mati banyakk MOHON DI PERBAIKI YA KON",0.0
1266,"Ngak rekomendasi la,gak bisa liat mini map, masak langsung war.",0.0
1267,Bagus grafik dan gameplay nya,1.0
1268,GAME KOK NGIKUTIN ML GAME BARU TERBIT DI PUBLIK LANGSUNG NYINDIR ML,0.0
1269,"Bagus banget, saya suka sekali",1.0
1270,Komunitasnya aktif dan bagus sekali,1.0
1271,IKUT IKUT MOBILE LEGENDS,0.0
1272,Grafiknya bagus dan memukau,1.0
1273,Event dalam game sangat menghibur,1.0
1274,Grafiknya bagus dan memukau,1.0
1275,Kasih tim yg ngotak dong min Aku turun dari master sampe gold,0.0
1276,Game ini benar-benar mantap!,1.0
1277,Gamenya sangat buruk,0.0
1278,Iklan nya aneh nyindir mlbb banget kenapa motoon gak tuntut sih ni game terus grafik nya jelek banget,0.0
1279,menarik dan banyak bonusnya.,1.0
1280,lbh bagus audio nya visualnya drpd ml,1.0
1281,"Kebanyakan hero CC, lama pula... aduh dah, susah buat gerak tau, CD purify juga lama bet dah, ampun..",0.0
1282,"Game cacat isi nya org dongo, D report mala d belain gak kaya ml.... Lebih baik ML dari oada game ini",0.0
1283,"Seminggu main game nya bagus aja,udah diamond 1,tapi tolong,sudah 2 hari jaringannya ga stabil,padahal pakai wifi IndiHome yang kenceng,tapi masih ngelag,tolong di perbaiki bugnya",0.0
1284,UI yg bagus grafik oke tapi tetep ringan,1.0
1285,kameranya terlalu dekat,0.0
1286,"Game nya sangat bagus dengan login doang dapat skin epic,ngak kayak game sebelah",1.0
1287,Bagus cuma di dalam match sinyal nya kurang lancar,0.0
1288,"overall aku suka bgt sm ni game, gameplay nya seru + banyak event yang bagiin skin gratis <33 love you Timi~",1.0
1289,Skin nya bagus dan gratis,1.0
1290,bagus juga,1.0
1291,kualitas jaringan bagus banget,1.0
1292,Pertarungannya seru dan menghibur banget,1.0
1293,aku suka,1.0
1294,game yg menyenangkan dan memuat cerita yg menarik,1.0
1295,lebih keren di banding ML,1.0
1296,Sistem pertarungan sangat oke dan adiktif,1.0
1297,"mantap sih nih game, keren lah pokonya",1.0
1298,sangat menarik,1.0
1299,Sistem pertarungan sangat oke dan adiktif,1.0
1300,Tidak seru,0.0
1301,Game ini benar-benar mantap!,1.0
1302,Bagus gk kayak game sebelah,1.0
1303,Bagusan mobile legends,0.0
1304,Saya sangat bersemangat bermain game ini❤️,1.0
1305,Hero-nya beragam dan sangat menghibur,1.0
1306,Update terbaru membuatnya lebih mantap,1.0
1307,Gem aneh masak aku sudah capek capek membunuh turtel tapi malah musuh yang dapat . Gem aneh,0.0
1308,Game ini benar-benar mantap!,1.0
1309,"Baru aja terbit,kasian yang lama",0.0
1310,SUKA NGELAG NI GAME,0.0
1311,Gemnya mirim MLBB,0.0
1312,Mantap bgt geme nya,1.0
1313,Beh honor of king rumah baru dark systm moontoon btw hok itu juga banyak meniru karakter ml plislah kalo mau bikin karakter di game lu jangan tiru skil karakter Hero orang,0.0
1314,mantap kali,1.0
1315,Developer sangat oke dalam update,1.0
1316,sangat bagus,1.0
1317,keren aku suka walaupun HP saya ram 2 tapi ini game gak berat kok sumpah...,1.0
1318,Game ini sangat jelek dan membosankan,0.0
1319,"bagus game nya,",1.0
1320,Dark sistem mlbb pada pindah ke ni game kah sering ke temu tim gak jelas,0.0
1321,Game kopi an mlbb,0.0
1322,Gamenya sangat bagus untuk dimainkan,1.0
1323,game bagus,1.0
1324,Ngelek terus padahal wifi normal 😒,0.0
1325,"Game nya bagus pokoknya ditambah byk skin dan hero gratis, mantap👍",1.0
1326,aku suka gamenya:3,1.0
1327,Ini game seru dan gw suka voice hero nya terus gk lag atau gk ada bug sama sekali jadi gw suka game ini seru banget dah,1.0
1328,Gameplaynya mantap dengan strategi tinggi,1.0
1329,keren cuy gamenya ringan,1.0
1330,Bagussssssss.. s. s. s. s. s. s,1.0
1331,Saya suka game ini.,1.0
1332,gemnya bagus gampang dimainkan keren banget,1.0
1333,Jelek Dan Pelagiat,0.0
1334,mending yang ini ketimbang game sebelah,1.0
1335,Sejauh-jauhnya inii baguss lah,1.0
1336,Game ini sangat oke dan seru,1.0
1337,Katanya Hero gratis pas saya coba malah suruh beli oh yah satu lagi skin katanya gratis malah suruh top up🤮🗿 pembohongan publik,0.0
1338,game nya oke....,1.0
1339,Gem nya bagus sekali,1.0
1340,Event-eventnya sangat oke dan menarik,1.0
1341,Game buriq,0.0
1342,Update terbaru membuatnya lebih mantap,1.0
1343,sru tantangan bru,1.0
1344,Event-eventnya sangat oke dan menarik,1.0
1345,game baikk :D,1.0
1346,bagus sekali gem nya,1.0
1347,game jujur,1.0
1348,masih coba coba,1.0
1349,Game mantapp,1.0
1350,"game keren ga kikir, ngga kayak sebelah ngasih tiket doang itupun dapetnya ampas, ini modal login aja dapet skin😍🥰, emang mantap game keren dan bagus ramah terhadap player gratisan kayak gua 😋😋",1.0
1351,gamenya asik banget seru lagi,1.0
1352,keren. banyak gratisnya,1.0
1353,Game ini benar-benar mantap!,1.0
1354,aku sangat suka main game karena game nya gokil,1.0
1355,terlalu bagus,1.0
1356,ok mantap,1.0
1357,Developer sangat oke dalam update,1.0
1358,Reward harian sangat menghibur dan menarik,1.0
1359,sangat bagus dan menarik saya suka gamenya,1.0
1360,seru gamenya min,1.0
1361,gamenya mantep,1.0
1362,Lumayan sih,1.0
1363,game menarik,1.0
1364,Efek suaranya mantap dan keren,1.0
1365,"Keren gamenya,aku suka bgt",1.0
1366,banyak hadiah menarik,1.0
1367,sangat menarik,1.0
1368,Kontrolnya mantap dan responsif,1.0
1369,Mantap pollll😄😄,1.0
1370,Gameplaynya monoton dan membosankan,0.0
1371,Gamenya asikkk,1.0
1372,Game ini sangat oke dan seru,1.0
1373,sangat cocok,1.0
1374,Game buruk gk bagus musuh ny gk ngotak kalo bisa bintang 0 gw kasih bintang 0,0.0
1375,seru bgt gamenya,1.0
1376,Game bagus bgt gak kayak game sebelah(ml) jelek bgt bikinan moonton,1.0
1377,Game baik & Gk kikir.. Makasi bansos skin nya,1.0
1378,"Keren banget, GK pelit ngasih skin Ama Hero",1.0
1379,Event-eventnya sangat oke dan menarik,1.0
1380,Game ini benar-benar mantap!,1.0
1381,gamenya sangat seru,1.0
1382,AKU CINTA HONOR OF KINGS🥰🥰🥰🥰🥰,1.0
1383,Game nya bagus,1.0
1384,Mengapa begitu mirip dengan mlbb??!!,0.0
1385,mantab semoga makin bagus,1.0
1386,Developer tidak mendengarkan pemain,0.0
1387,keren gamenya,1.0
1388,"terlalu banyak bug,jaringan bagus tiba tiba lag dan gk bisa balik ke game lg.loadingnya jg lama bgt",0.0
1389,"Gamenya OP buat user tank ga imbang dama damage mm good, ga customer care berat buat user solo rank.",0.0
1390,game nya bagus dan dikasih hero gratis,1.0
1391,Sering crash tanpa alasan jelas,0.0
1392,game nya sangat seru,1.0
1393,sangat bagus,1.0
1394,Hero nya aneh aneh,0.0
1395,Komunitasnya aktif dan bagus sekali,1.0
1396,Developer tidak mendengarkan pemain,0.0
1397,game nya sangat menyenangkan,1.0
1398,Bagusss banget gamenya ditunggu collab sama SAO nya min,1.0
1399,"Banyak player yg gak bisa main moba dan selalu dipertemukan, dapat teman bot juga sedangkan tim diberi player asli",0.0
1400,"Dari 2 game yg saya mainkan Yaitu MLBB dan HOK, saya lebih suka HOK",1.0
1401,oke lumayan,1.0
1402,game seru,1.0
1403,Bagus game nya ihhhh lebih bagus lebih seru dari pada game sebelah aduhh aku kasih rating lima daahhhh⭐⭐⭐⭐⭐,1.0
1404,gem nya keren,1.0
1405,"Game gk laku, banyak bot, udah diamond 1 aja masih rame bot. Ini game cuma pelarian buat yang gagal di Dota2 / MLBB, contohnya IYD.",0.0
1406,Skill hero sangat bagus dan unik,1.0
1407,sangat seru,1.0
1408,bagus gem nya dari pada yg di sebelah,1.0
1409,sangat atusias,1.0
1410,Game nya bagus banget,1.0
1411,mantap permainan,1.0
1412,Login aja pakek data lama terlalu menguras data update lah kaya mobile Langen gak terlalu mkn data,0.0
1413,"Game nya seru, dan lebih baik dari yang sebelah xixixi",1.0
1414,"Bagus banget, saya suka sekali",1.0
1415,sangat bgss game ini👍👍,1.0
1416,"Game nya sangat lag,dan banyak download tan",0.0
1417,bagus menghibur,1.0
1418,Sangat menghibur dan tidak membosankan,1.0
1419,Sangat oke untuk dimainkan setiap hari,1.0
1420,Terlalu banyak bug mengganggu,0.0
1421,LEBIH SERU DARIPADAH ML,1.0
1422,Komunitasnya aktif dan bagus sekali,1.0
1423,mantap gemnya,1.0
1424,keren banget saya suka sekali dengan game ini,1.0
1425,Mantap skin gratis bnyk,1.0
