index,Content,Preprocessing,Sentimen,Prediksi,Category
1090,"Minimal g nyamain mlbb dong mikir kek,habis pikiran kah","['minimal', 'tidak', 'nyamain', 'mlbb', 'mikir', 'khabis', 'pikir', 'kah']",negatif,negatif,TN
1091,bagus,['bagus'],positif,positif,TP
1092,bagus,['bagus'],positif,positif,TP
1093,Game baikm🥰🥰🥰,"['game', 'baik']",positif,positif,TP
1096,saya suka game ini soalnya heronya gratis bukan kaya ml harus beli skin pula males,"['suka', 'game', 'hero', 'gratis', 'ml', 'beli', 'skin', 'males']",positif,positif,TP
1097,"Lebih bagus dari Mobile Legends : Bang Bang, matchmaking lebih adil, tidak ada permainan buruk dari players lain, dan no feeder. The best lah pokoknya Honor of Kings... MOBA kok cuman rame di Asia tenggara ????!🤪","['lebih', 'bagus', 'mobile', 'legends', 'bang', 'bang', 'matchmaking', 'lebih', 'adil', 'tidak', 'main', 'buruk', 'players', 'no', 'feeder', 'the', 'baik', 'pokok', 'honor', 'of', 'kings', 'moba', 'cuman', 'rame', 'asia', 'tengara']",positif,negatif,FN
1099,Bagus,['bagus'],positif,positif,TP
1100,Game keren,"['game', 'keren']",positif,positif,TP
1102,bagus,['bagus'],positif,positif,TP
1103,mantap,['mantap'],positif,positif,TP
1104,bagus grafik mana skin gratis nya,"['bagus', 'grafik', 'skin', 'gratis']",positif,positif,TP
1105,Ni game bagus bgt sumpah dan enak bgt mainnya,"['game', 'bagus', 'banget', 'sumpah', 'enak', 'banget', 'main']",positif,positif,TP
1108,mantap ni,['mantap'],positif,positif,TP
1110,okeh,['oke'],positif,positif,TP
1111,bagus seru,"['bagus', 'seru']",positif,positif,TP
1112,Game niru niru kok bangga minimal itu gak niru lah,"['game', 'plagiat', 'plagiat', 'bangga', 'minimal', 'tidak', 'plagiat']",negatif,negatif,TN
1113,mayan,['mayan'],positif,positif,TP
1114,bagus,['bagus'],positif,positif,TP
1115,game nya ga berat lumayan lah ya,"['game', 'tidak', 'berat', 'lumayan', 'ya']",positif,negatif,FN
1117,ok,['oke'],positif,positif,TP
1119,bagussss,['bagus'],positif,positif,TP
1121,keren,['keren'],positif,positif,TP
1124,bagus,['bagus'],positif,positif,TP
1128,Dapet tim gaje mulu,"['dapet', 'tim', 'tidak', 'jelas', 'mulu']",negatif,negatif,TN
1129,Mantapp,['mantap'],positif,positif,TP
1130,gem nya seru dari pada ML,"['game', 'seru', 'ml']",positif,positif,TP
1131,Gatau suka aja seru gituu,"['gatau', 'suka', 'seru', 'gitu']",positif,positif,TP
1133,lebih. baik dari pada monton,"['lebih', 'baik', 'moonton']",positif,positif,TP
1134,bagus 👍👍👍👍👍😎😎😎😎😎,['bagus'],positif,positif,TP
1136,Ok,['oke'],positif,positif,TP
1138,gamenya asik bgt asli game hd bgt makasi hok,"['gamenya', 'asik', 'banget', 'asli', 'game', 'hd', 'banget', 'makas', 'honor', 'of', 'kings']",positif,positif,TP
1140,"Malas, banyak dark sistem ml yang pindah di hok, jadi malas main","['malas', 'banyak', 'dark', 'system', 'ml', 'pindah', 'honor', 'of', 'kings', 'malas', 'main']",negatif,negatif,TN
1142,SUMPAH INI GAME BAIK BANGET BANYAK SKIN GRATIS GK KAYA GEM SEBELAH PELIT,"['sumpah', 'game', 'baik', 'banget', 'banyak', 'skin', 'gratis', 'tidak', 'game', 'belah', 'pelit']",positif,positif,TP
1146,game bgus,"['game', 'bagus']",positif,positif,TP
1148,mantap,['mantap'],positif,positif,TP
1150,serujuga,['serujuga'],positif,positif,TP
1152,Kadang musuh tidak seimbang,"['kadang', 'musuh', 'tidak', 'imbang']",negatif,negatif,TN
1153,ok mantap,"['oke', 'mantap']",positif,positif,TP
1154,moba paling bgus,"['moba', 'bagus']",positif,positif,TP
1155,Bagus,['bagus'],positif,positif,TP
1156,Game jelek Susah di mainin Tim tolol Hero gak jelas Hero gak ada guna,"['game', 'jelek', 'susah', 'mainin', 'tim', 'tolol', 'hero', 'tidak', 'jelas', 'hero', 'tidak', 'guna']",negatif,negatif,TN
1157,game nya sangat bagus,"['game', 'sangat', 'bagus']",positif,positif,TP
1160,keren abangkuh,"['keren', 'abangkuh']",positif,positif,TP
1162,mantap game nya,"['mantap', 'game']",positif,positif,TP
1164,"TERIMAKASIH DEVLOPER HONOR OF KINGS KARENA TELAH MEMBERIKAN SKIN EPIC DAN LEGENDARY SECARA GRATIS, ITU MEMBUAT DEVLOPER SEBELAH MEMBERIKAN SKIN EPIC GRATIS JUGA AKU SANGAT SENANG😁","['terima', 'kasih', 'developer', 'honor', 'of', 'kings', 'skin', 'epic', 'legendary', 'gratis', 'developer', 'belah', 'skin', 'epic', 'gratis', 'sangat', 'senang']",positif,negatif,FN
1165,bagus,['bagus'],positif,positif,TP
1169,Keren dah,"['keren', 'dah']",positif,positif,TP
1171,Bagus sih gw dpt legends juga,"['bagus', 'sih', 'legends']",positif,positif,TP
1174,Game jelek mending ml,"['game', 'jelek', 'mending', 'ml']",negatif,negatif,TN
1175,Gamenya bagus gk kayak MLBB di kasih drak sytem mulu mending main HOK gratis hd dan bagus,"['gamenya', 'bagus', 'tidak', 'mlbb', 'kasih', 'dark', 'system', 'mulu', 'mending', 'main', 'honor', 'of', 'kings', 'gratis', 'hd', 'bagus']",positif,negatif,FN
1176,game yang bagus,"['game', 'bagus']",positif,positif,TP
1183,"Skilnya delay padahal lancar sinyal, pas batle ping ga stabil Tolong diperbaiki lagi min","['skilnya', 'delay', 'lancar', 'sinyal', 'pas', 'perangg', 'ping', 'tidak', 'stabil', 'tolong', 'baik', 'developer']",negatif,negatif,TN
1184,Seru banget gilaaa,"['seru', 'banget', 'gila']",positif,positif,TP
1185,mantap,['mantap'],positif,positif,TP
1194,game nya seru bangett😆,"['game', 'seru', 'banget']",positif,positif,TP
1195,Game plagiat ml minimal (ml and ff),"['game', 'plagiat', 'ml', 'minimal', 'ml', 'and', 'ff']",negatif,negatif,TN
1198,kerenn gameny,"['keren', 'gamenya']",positif,positif,TP
1199,ok,['oke'],positif,positif,TP
1200,keren sih,"['keren', 'sih']",positif,positif,TP
1201,Anjir seru banget,"['anjing', 'seru', 'banget']",positif,positif,TP
1202,"Game moba yang paling kusuka dari mekanik gameplay hero nya, serta map yang luas, dan juga efek skin yang mewah.","['game', 'moba', 'suka', 'mekanik', 'gameplay', 'hero', 'map', 'luas', 'efek', 'skin', 'mewah']",positif,positif,TP
1204,Game tolol setiap maen dapet tim beban klo gak tim tolol ketemu pemain indo malay beban semua,"['game', 'tolol', 'main', 'dapet', 'tim', 'beban', 'tidak', 'tim', 'tolol', 'ketemu', 'main', 'indo', 'malay', 'beban', 'semua']",negatif,negatif,TN
1205,game sangat bagus,"['game', 'sangat', 'bagus']",positif,positif,TP
1206,"Game taiii gw main rank losestreak Mulu sampe 11x jadi males anjg maen nya ,game bangsattt","['game', 'tai', 'main', 'rank', 'losestreak', 'mulu', 'sampe', 'x', 'males', 'anjing', 'main', 'game', 'bangsat']",negatif,negatif,TN
1207,"Mantap, gamenya ringan, match seimbang,","['mantap', 'gamenya', 'ringan', 'match', 'imbang']",positif,positif,TP
1208,ok,['oke'],positif,positif,TP
1209,hp gw gak kuat asw,"['hp', 'tidak', 'kuat', 'anjing']",negatif,negatif,TN
1210,seru.grafik oke.hero efek oke,"['serugrafik', 'okehero', 'efek', 'oke']",positif,positif,TP
1211,game bagus,"['game', 'bagus']",positif,positif,TP
1212,Keren,['keren'],positif,positif,TP
1216,Bagus sekali,"['bagus', 'sekali']",positif,positif,TP
1217,semangat terus,['semangat'],positif,positif,TP
1219,Plagiat ML,"['plagiat', 'ml']",negatif,negatif,TN
1220,wow saya sangat suka sama game satu ini luar biasa,"['luar', 'sangat', 'suka', 'game', 'luar']",positif,positif,TP
1223,Game enak dan recomend. Asik dah,"['game', 'enak', 'recomend', 'asik', 'dah']",positif,negatif,FN
1224,mantap,['mantap'],positif,positif,TP
1228,mantap banyak gratis,"['mantap', 'banyak', 'gratis']",positif,positif,TP
1229,Meniru mlbb,"['plagiat', 'mlbb']",negatif,negatif,TN
1230,game yg bagus.. ga nyesel download,"['game', 'bagus', 'tidak', 'nyesel', 'download']",positif,positif,TP
1232,bagus,['bagus'],positif,positif,TP
1233,Oke,['oke'],positif,positif,TP
1234,Bagus banget game nya,"['bagus', 'banget', 'game']",positif,positif,TP
1242,tolong di perbaiki,"['tolong', 'baik']",negatif,negatif,TN
1243,Item sulit dipahami,"['item', 'sulit', 'paham']",negatif,negatif,TN
1246,Ngotak dikit lah kalah 5 kali menang 1x tcuih mengang kalah sekali doang buang buang waktu mending uninstall,"['ngotak', 'dikit', 'kalah', 'kali', 'menang', 'x', 'tcuih', 'kang', 'kalah', 'sekali', 'doang', 'buang', 'buang', 'mending', 'uninstall']",negatif,negatif,TN
1247,sehat sehat game baik,"['sehat', 'sehat', 'game', 'baik']",positif,positif,TP
1248,keren,['keren'],positif,positif,TP
1250,kalau buat iklan gak usah nyindir mlbb kayak game elo aja yang lebih bagus orang bagusan mlbb Iyo gak usah sok paling bagus deh dasar game hok gak tau diri!!,"['buat', 'iklan', 'tidak', 'nyindir', 'mlbb', 'game', 'elo', 'lebih', 'bagus', 'orang', 'bagus', 'mlbb', 'iya', 'tidak', 'sok', 'bagus', 'dah', 'dasar', 'game', 'honor', 'of', 'kings', 'tidak']",negatif,negatif,TN
1251,keren game nya mantab bisalah bersaing dengan game sebelah,"['keren', 'game', 'mantap', 'bisa', 'saing', 'game', 'belah']",positif,positif,TP
1252,keren.. user di kasih kemudahan dalam permainan,"['keren', 'user', 'kasih', 'mudah', 'main']",positif,positif,TP
1254,gema ini sangat setu,"['game', 'sangat', 'seru']",positif,positif,TP
1255,Bagus mantab. 👍👍👍,"['bagus', 'mantap']",positif,positif,TP
1257,Setiap main gem nya patah patah tolong diperbaiki dan diperhatikan,"['main', 'game', 'patah', 'patah', 'tolong', 'baik', 'perhati']",negatif,negatif,TN
1260,mntap,['mantap'],positif,positif,TP
1264,Seru sekali,"['seru', 'sekali']",positif,positif,TP
1265,"Menurut gw sih ini game sudah bagus, hp gw yg ram 3 dan chipset Helio aja dah bisa grafik ultra di game ini, saya harap banyak skin bisa di gratiskan lagi hehe","['sih', 'game', 'bagus', 'hp', 'ram', 'chipset', 'hio', 'dah', 'bisa', 'grafik', 'ultra', 'game', 'harap', 'banyak', 'skin', 'bisa', 'gratis', 'hehe']",positif,negatif,FN
1266,Mantaapp,['mantap'],positif,positif,TP
1267,game nya seru sekali aku suka pokonya,"['game', 'seru', 'sekali', 'suka', 'pokok']",positif,positif,TP
1270,menarik game nya,"['tarik', 'game']",positif,positif,TP
1273,Plagiat ml,"['plagiat', 'ml']",negatif,negatif,TN
1276,Membosankan tidak ada skin anime gratis,"['bosan', 'tidak', 'skin', 'anime', 'gratis']",negatif,positif,FP
1278,bagus,['bagus'],positif,positif,TP
1279,Untuk mendapatkan sinyal stabil susah,"['sinyal', 'stabil', 'susah']",negatif,negatif,TN
1282,Ngasi tim sama musuh yang imbang dong masa dapet tim ampas terus,"['ngasi', 'tim', 'musuh', 'imbang', 'dapet', 'tim', 'ampas']",negatif,negatif,TN
1283,MOBA BAIK,"['moba', 'baik']",positif,positif,TP
1284,keren,['keren'],positif,positif,TP
1286,Gamenya mudah dan bagus,"['gamenya', 'mudah', 'bagus']",positif,positif,TP
1287,mantaaaap,['mantap'],positif,positif,TP
1291,Iya bagus,"['iya', 'bagus']",positif,positif,TP
1292,Apa lah game ini aku kok dapet tim yang gak bisa kerja sama malahan tim musuh yang bisa kerjasama aku kecewa katanya gema seimbang mana lebih parahan ini dari pada ml di rekomendasi kan jangan download game ini gak bisa kerja sama 👎👎🙅,"['game', 'dapet', 'tim', 'tidak', 'bisa', 'kerja', 'tim', 'musuh', 'bisa', 'kerjasama', 'kecewa', 'game', 'imbang', 'lebih', 'parah', 'ml', 'rekomendasi', 'jangan', 'download', 'game', 'tidak', 'bisa', 'kerja']",negatif,negatif,TN
1293,game bagus,"['game', 'bagus']",positif,positif,TP
1294,Game bagus,"['game', 'bagus']",positif,positif,TP
1296,sama aja kaya game sebelah malah bagusan sebelah gajelas daper tim ngaco mulu,"['game', 'belah', 'bagus', 'belah', 'tidak', 'jelas', 'daper', 'tim', 'ngaco', 'mulu']",negatif,negatif,TN
1297,Gk jelas,"['tidak', 'jelas']",negatif,negatif,TN
1299,Bagus bang,"['bagus', 'bang']",positif,positif,TP
1303,sangat seru bgt dan grafiknya bgs,"['sangat', 'seru', 'banget', 'grafik', 'bagus']",positif,positif,TP
1304,GW SUKA GAME LU LEVEL INFINITE LANJUTKANN,"['suka', 'game', 'level', 'infinite', 'lanjut']",positif,negatif,FN
1305,buat HP lowend mengalami leg...,"['buat', 'hp', 'lowend', 'alami', 'lag']",negatif,negatif,TN
1309,bagus,['bagus'],positif,positif,TP
1311,rilis ke global malah nambah dragsistem 🥲,"['rilis', 'global', 'nambah', 'dark', 'system']",negatif,negatif,TN
1312,nice,['bagus'],positif,positif,TP
1313,Geme nya bagus sekali tapilanya juga sangat baik enak sambil santay santay juga mainnya😜😜,"['game', 'bagus', 'sekali', 'tapilanya', 'sangat', 'baik', 'enak', 'santay', 'santay', 'main']",positif,positif,TP
1314,"enak gamenya, banyak bansos, gak kikir kaya? ML","['enak', 'gamenya', 'banyak', 'bansos', 'tidak', 'pelit', 'ml']",positif,negatif,FN
1315,ok,['oke'],positif,positif,TP
1316,game bagus,"['game', 'bagus']",positif,positif,TP
1318,bagus,['bagus'],positif,positif,TP
1319,Gamenya ngebug,"['gamenya', 'ngebug']",negatif,positif,FP
1321,bagus,['bagus'],positif,positif,TP
1322,Bagus,['bagus'],positif,positif,TP
1323,Gacor kang game nya gk pelit suka kasih skin gratis 😁,"['keren', 'abang', 'game', 'tidak', 'pelit', 'suka', 'kasih', 'skin', 'gratis']",positif,positif,TP
1324,bagus,['bagus'],positif,positif,TP
1325,game mantap om,"['game', 'mantap', 'om']",positif,positif,TP
1326,lumayan lah,['lumayan'],positif,positif,TP
1327,suara nya perbaiki volume udh full suara game-nya kecil,"['suara', 'baik', 'volume', 'udah', 'penuh', 'suara', 'gamenya', 'kecil']",negatif,negatif,TN
1328,Karena meniru mobile legends,"['plagiat', 'mobile', 'legends']",negatif,negatif,TN
1331,Jelek bngt perkataannya jlk gk sopan,"['jelek', 'banget', 'kata', 'jelek', 'tidak', 'sopan']",negatif,negatif,TN
1332,Mantap min banyakin lagi event gratisan nya 😋,"['mantap', 'developer', 'banyakin', 'event', 'gratis']",positif,positif,TP
1334,"Bug joystik ganggu banget, gk bisa balik ke normal..","['bug', 'joystik', 'ganggu', 'banget', 'tidak', 'bisa', 'normal']",negatif,negatif,TN
1341,Keren,['keren'],positif,positif,TP
1342,bagus banget gem ini,"['bagus', 'banget', 'game']",positif,positif,TP
1347,Gajelas bangett game nya,"['tidak', 'jelas', 'banget', 'game']",negatif,negatif,TN
1349,Game baik,"['game', 'baik']",positif,positif,TP
1351,kurangnya perlindungan binatang untuk pemain yang dirugikan teman setim,"['kurang', 'lindung', 'binatang', 'main', 'rugi', 'teman', 'tim']",negatif,negatif,TN
1357,bagus,['bagus'],positif,positif,TP
1358,Lag,['lag'],negatif,negatif,TN
1359,Seru,['seru'],positif,positif,TP
1360,puas,['puas'],positif,positif,TP
1361,GAME KOK NGECOPPY ML WKWK MANA SKIN MURAHAN WOKAWOK,"['game', 'ngecopy', 'ml', 'wkwk', 'skin', 'murah', 'wokawok']",negatif,negatif,TN
1363,terbaik,['baik'],positif,positif,TP
1364,bagus,['bagus'],positif,positif,TP
1365,Benerin lagi masuk gamenya aj gk bisa dipencet gimna mau main tolong developer,"['benerin', 'masuk', 'gamenya', 'aja', 'tidak', 'bisa', 'pencet', 'gimana', 'main', 'tolong', 'developer']",negatif,negatif,TN
1366,Game gak ada otak player nya nyampah Han,"['game', 'tidak', 'otak', 'player', 'nyampah', 'han']",negatif,negatif,TN
1367,Lumayan,['lumayan'],positif,positif,TP
1368,"bagus, eventnya banyak ga kayak game sebelah","['bagus', 'eventnya', 'banyak', 'tidak', 'game', 'belah']",positif,positif,TP
1370,Lag + mengcopy Mobile legend,"['lag', 'mengcopy', 'mobile', 'legend']",negatif,negatif,TN
1374,game nya bagus,"['game', 'bagus']",positif,positif,TP
1375,terbaik gak toxsi,"['baik', 'tidak', 'kasar']",positif,negatif,FN
1380,Plagiat ml tai,"['plagiat', 'ml', 'tai']",negatif,negatif,TN
1382,"developer gamenya mantap, bikin g bosen karena banyak rewardnya","['developer', 'gamenya', 'mantap', 'tidak', 'bosen', 'banyak', 'rewardnya']",positif,positif,TP
1384,mantap lebih bagus dibanding ml,"['mantap', 'lebih', 'bagus', 'banding', 'ml']",positif,positif,TP
1385,Menyenangkan sekali,"['senang', 'sekali']",positif,positif,TP
1388,keren,['keren'],positif,positif,TP
1391,Gak seru,"['tidak', 'seru']",negatif,positif,FP
1392,"Surat terbuka untuk Infinity level dan Timi games,tolong untuk beberapa Hero untuk dinerf.karena apapl?karena rata rata Hero di game anda tidak masuk akal damage nya","['surat', 'buka', 'infinity', 'level', 'timi', 'game', 'tolong', 'hero', 'dinerf', 'hero', 'game', 'tidak', 'masuk', 'akal', 'damage']",negatif,negatif,TN
1393,efek nya keren,"['efek', 'keren']",positif,positif,TP
1394,Dasar game plagiyat ml aja banga,"['dasar', 'game', 'plagiat', 'ml', 'bangga']",negatif,negatif,TN
1395,seru bagus.,"['seru', 'bagus']",positif,positif,TP
1397,seru banget,"['seru', 'banget']",positif,positif,TP
1398,bagus,['bagus'],positif,positif,TP
1399,suasana baruuu,"['suasana', 'baru']",positif,positif,TP
1400,Game Nya keren coi,"['game', 'keren', 'coi']",positif,positif,TP
1401,Ngasih tim yg bnr dikit lah tlol dah gk mau bantu lord pdhal dah menang Lane masih aja kalah,"['ngasih', 'tim', 'benar', 'dikit', 'tolol', 'dah', 'tidak', 'bantu', 'lord', 'dah', 'menang', 'lane', 'kalah']",negatif,negatif,TN
1406,Dark sistem lebih parah dari ML,"['dark', 'system', 'lebih', 'parah', 'ml']",negatif,negatif,TN
1409,kereeen euy,"['keren', 'euy']",positif,positif,TP
1413,Main rank se team sama bot terus,"['main', 'rank', 'team', 'bot']",negatif,negatif,TN
1417,HOK game yang sangat bagus ramah dan juga gak ngebosenin..,"['honor', 'of', 'kings', 'game', 'sangat', 'bagus', 'ramah', 'tidak', 'ngebosenin']",positif,positif,TP
1419,Game plagiat ml,"['game', 'plagiat', 'ml']",negatif,negatif,TN
1421,bagus,['bagus'],positif,positif,TP
1422,Stuck di lobby dan setelah match terkadang tidak bisa pencet tombol apapun padahal di in game sangat lancar sekali tapi di lobby dan setelah in game terkadang stuck,"['stuck', 'beranda', 'match', 'terkadang', 'tidak', 'bisa', 'pencet', 'tombol', 'apa', 'in', 'game', 'sangat', 'lancar', 'sekali', 'beranda', 'in', 'game', 'terkadang', 'stuck']",negatif,negatif,TN
1424,"game plagiat,hapus aja tol","['game', 'plagiat', 'hapus', 'kontol']",negatif,negatif,TN
1425,Mantappp,['mantap'],positif,positif,TP
1426,mantap,['mantap'],positif,positif,TP
1427,mantap dari game sebelah,"['mantap', 'game', 'belah']",positif,positif,TP
1428,"Keren ni game moba grafiknya juga bagus Hero banyak dan punya skill unik"" dan eventnya behh terbaik memang","['keren', 'game', 'moba', 'grafik', 'bagus', 'hero', 'banyak', 'punya', 'skill', 'unik', 'eventnya', 'beh', 'baik']",positif,positif,TP
1429,bagus,['bagus'],positif,positif,TP
1431,Ini Game terbaik. Ga kaya game sebelah Banyak team Tolol.,"['game', 'baik', 'tidak', 'game', 'belah', 'banyak', 'team', 'tolol']",positif,positif,TP
1432,PLAGIAT EMEL LU KKNTOL,"['plagiat', 'ml', 'kontol']",negatif,negatif,TN
1434,bagi saya game ini cukup menarik bahkan lebih.,"['game', 'tarik', 'lebih']",positif,positif,TP
1435,mantap,['mantap'],positif,positif,TP
1436,Sangat menggumkan ada yang bisa bikin game sekeren ini,"['sangat', 'kagum', 'bisa', 'game', 'keren']",positif,positif,TP
1442,aga delay mencet nya,"['delay', 'mencet']",negatif,negatif,TN
1443,Keren bnget dapat skin gratis gak kayak ml wkwwk,"['keren', 'banget', 'skin', 'gratis', 'tidak', 'ml', 'wkwk']",positif,positif,TP
1444,"seru game nya, hero² nya juga menarik","['seru', 'game', 'hero', 'tarik']",positif,positif,TP
1446,seru. event banyak,"['seru', 'event', 'banyak']",positif,positif,TP
1448,mantap bagus,"['mantap', 'bagus']",positif,positif,TP
1450,Keren,['keren'],positif,positif,TP
1453,Kanpa pas main rank. Tiba2 jaringan tidak terhubung? Padahal jaringan disini stabil,"['kanpa', 'pas', 'main', 'rank', 'jaring', 'tidak', 'hubung', 'jaring', 'stabil']",negatif,negatif,TN
1454,Keren sih,"['keren', 'sih']",positif,positif,TP
1455,Mantap dan seru gamenya,"['mantap', 'seru', 'gamenya']",positif,positif,TP
1458,saya suka,['suka'],positif,positif,TP
1462,Masih bagus mobile legends,"['bagus', 'mobile', 'legends']",negatif,positif,FP
1464,Game tolol dark system' ml pindah ke sini semua tencen anj,"['game', 'tolol', 'dark', 'system', 'ml', 'pindah', 'semua', 'tencen', 'anjing']",negatif,negatif,TN
1466,mAntap game menarik,"['mantap', 'game', 'tarik']",positif,positif,TP
1467,bagus,['bagus'],positif,positif,TP
1469,mantep,['mantap'],positif,positif,TP
1470,"Gamenya ga sinkron kitanya jago timnya yang gajelas terus musuhnya yang pintar tolonglah lama lama aku main ml aja mendingan daripada ini jujur gamenya seru tapi ya lama lama bosen gada mode lain slain 5v5 dll, tolong diperbaiki","['gamenya', 'tidak', 'sinkron', 'kita', 'jago', 'tim', 'tidak', 'jelas', 'musuh', 'pintar', 'tolong', 'main', 'ml', 'mending', 'jujur', 'gamenya', 'seru', 'ya', 'bosen', 'tidak', 'mode', 'v', 'dl', 'tolong', 'baik']",negatif,negatif,TN
1472,"Game keren, developer baik ga kyk sebelah","['game', 'keren', 'developer', 'baik', 'tidak', 'belah']",positif,positif,TP
1475,lebih keren dari pda MLBB,"['lebih', 'keren', 'mlbb']",positif,positif,TP
1477,keren game nya,"['keren', 'game']",positif,positif,TP
1478,Mantap,['mantap'],positif,positif,TP
1479,bagus,['bagus'],positif,positif,TP
1481,"Skin nya murah2 efek nya bukan kaleng2, enggak kayak game sebelah, harganya mahal efek nya biasa aja","['skin', 'murah', 'efek', 'kaleng', 'tidak', 'game', 'belah', 'harga', 'mahal', 'efek']",positif,positif,TP
1483,skil nya mudah dimengerti,"['skill', 'mudah', 'erti']",positif,negatif,FN
1484,mantap,['mantap'],positif,positif,TP
1485,lebih bagus daripdA ML,"['lebih', 'bagus', 'daripda', 'ml']",positif,positif,TP
1486,asik banget bagi pemula,"['asik', 'banget', 'mula']",positif,positif,TP
1487,game nya bagus banget,"['game', 'bagus', 'banget']",positif,positif,TP
1488,"Game ny sangat bagus.. Skin + hero jga sangat bagus.. Dan banyak gratisan.. Dangk pelit.. Harga hero ny juga gk mahal"".. Tim pun sangat bagus saat kerja sma..","['game', 'sangat', 'bagus', 'skin', 'hero', 'sangat', 'bagus', 'banyak', 'gratis', 'tidak', 'pelit', 'harga', 'hero', 'tidak', 'mahal', 'tim', 'sangat', 'bagus', 'kerja']",positif,positif,TP
1492,"bagusss banget, seru dan match nya masuk akal","['bagus', 'banget', 'seru', 'match', 'masuk', 'akal']",positif,positif,TP
1496,saya suka sekali,"['suka', 'sekali']",positif,positif,TP
1499,menyenangkan,['senang'],positif,positif,TP
1501,"game nya sangat bagus,mekanik nya seru tdk mengutamakan regen saat war","['game', 'sangat', 'bagusmekanik', 'seru', 'tidak', 'utama', 'regen', 'war']",positif,positif,TP
1502,game anj ngikutin ml,"['game', 'anjing', 'ngikutin', 'ml']",negatif,negatif,TN
1503,seru,['seru'],positif,positif,TP
1504,Plagiat mlbb,"['plagiat', 'mlbb']",negatif,negatif,TN
1505,bgus,['bagus'],positif,positif,TP
1507,game plagiat,"['game', 'plagiat']",negatif,negatif,TN
1509,game plagiat mobile legend,"['game', 'plagiat', 'mobile', 'legend']",negatif,negatif,TN
1510,oke,['oke'],positif,positif,TP
1512,Ada sedikit bug nya,['bug'],negatif,negatif,TN
1514,Keren,['keren'],positif,positif,TP
1515,Game plagiat game jelek game tolol,"['game', 'plagiat', 'game', 'jelek', 'game', 'tolol']",negatif,negatif,TN
1516,game nya bagus,"['game', 'bagus']",positif,positif,TP
1517,enak game ini,"['enak', 'game']",positif,positif,TP
1518,Seru bgt game nya udah lagi Hero nya Kawai Kawai ga kayak game sebelah,"['seru', 'banget', 'game', 'udah', 'hero', 'kawai', 'kawai', 'tidak', 'game', 'belah']",positif,positif,TP
1522,keren gak kek game sebelah banyak drak sistem,"['keren', 'tidak', 'game', 'belah', 'banyak', 'dark', 'system']",positif,positif,TP
1523,Bagus,['bagus'],positif,positif,TP
1525,Dark sistem semua,"['dark', 'system', 'semua']",negatif,negatif,TN
1526,ok,['oke'],positif,positif,TP
1527,Kerenan ml,"['keren', 'ml']",negatif,positif,FP
1528,mantap,['mantap'],positif,positif,TP
1531,GAME BAGUSSS,"['game', 'bagus']",positif,positif,TP
1532,"game ya bagus, semoga kedepannya peminatnya makin rame.","['game', 'ya', 'bagus', 'moga', 'depan', 'minat', 'rame']",positif,positif,TP
1535,Mantap betul event nya ga kaya game sebelah (kikir legend,"['mantap', 'event', 'tidak', 'game', 'belah', 'pelit', 'legend']",positif,positif,TP
1537,Gamenya baik sekali,"['gamenya', 'baik', 'sekali']",positif,positif,TP
1538,"Game pelagiat gak bisa ber kerasi sendiri ,,,,,,,😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡🤬😡","['game', 'plagiat', 'tidak', 'bisa', 'ber', 'keras']",negatif,negatif,TN
1539,Stak gak bisa login,"['nyangkut', 'tidak', 'bisa', 'login']",negatif,negatif,TN
1540,Keren gk kek game sebelahnya,"['keren', 'tidak', 'game', 'belah']",positif,positif,TP
1542,Sebaiknya jngan terlalu merendahkan mlbb game baru kok ngelunjak,"['jangan', 'rendah', 'mlbb', 'game', 'baru', 'ngelunjak']",negatif,negatif,TN
1543,Bagus,['bagus'],positif,positif,TP
1544,sagt bgus,"['sangat', 'bagus']",positif,positif,TP
1546,Game nya jelek dan musuhnya terlalu gampang,"['game', 'jelek', 'musuh', 'gampang']",negatif,negatif,TN
1547,Bagus banget soalnya langsung MVP!!,"['bagus', 'banget', 'langsung', 'mvp']",positif,positif,TP
1548,"rumput kurang tebal,dan tatanan hero terlalu rapat jadi bingggung milih hero","['rumput', 'tebaldan', 'tatanan', 'hero', 'rapat', 'bingung', 'milih', 'hero']",negatif,negatif,TN
1549,Ringan bagus,"['ringan', 'bagus']",positif,positif,TP
1550,mantap,['mantap'],positif,positif,TP
1551,Oke lh,['oke'],positif,positif,TP
1552,"Game keren, bye bye MLBB","['game', 'keren', 'bye', 'bye', 'mlbb']",positif,positif,TP
1556,Mantap gamenya. ga sperti game sbelah kebanyakan darksistem,"['mantap', 'gamenya', 'tidak', 'sperti', 'game', 'belah', 'banyak', 'dark', 'system']",positif,positif,TP
1558,sangat bagus,"['sangat', 'bagus']",positif,positif,TP
1559,bagus,['bagus'],positif,positif,TP
1560,Game nya bagus banget ga sabar pengen coba hero dolia,"['game', 'bagus', 'banget', 'tidak', 'sabar', 'ken', 'coba', 'hero', 'dolia']",positif,positif,TP
1561,bagusan ini,['bagus'],positif,positif,TP
1564,enak,['enak'],positif,positif,TP
