,content,lower_case,clean_1,clean_2,normalized,tokens,stopword,stemming,sentimen
1584,ringan ga berat. kereeen,ringan ga berat. kereeen,ringan ga berat kereeen,ringan ga berat keren,ringan tidak berat keren,"['ringan', 'tidak', 'berat', 'keren']","['ringan', 'tidak', 'berat', 'keren']","['ringan', 'tidak', 'berat', 'keren']",1.0
1585,Permainan Sangat Bagus,permainan sangat bagus,permainan sangat bagus,permainan sangat bagus,permainan sangat bagus,"['permainan', 'sangat', 'bagus']","['permainan', 'sangat', 'bagus']","['main', 'sangat', 'bagus']",1.0
1586,game sangat bagus,game sangat bagus,game sangat bagus,game sangat bagus,game sangat bagus,"['game', 'sangat', 'bagus']","['game', 'sangat', 'bagus']","['game', 'sangat', 'bagus']",1.0
1587,bagus realistis walau mirip mllbb,bagus realistis walau mirip mllbb,bagus realistis walau mirip mllbb,bagus realistis walau mirip mlb,bagus realistis walau mirip mlbb,"['bagus', 'realistis', 'walau', 'mirip', 'mlbb']","['bagus', 'realistis', 'mirip', 'mlbb']","['bagus', 'realistis', 'mirip', 'mlbb']",1.0
1590,game baik,game baik,game baik,game baik,game baik,"['game', 'baik']","['game', 'baik']","['game', 'baik']",1.0
1592,Bagus banget,bagus banget,bagus banget,bagus banget,bagus banget,"['bagus', 'banget']","['bagus', 'banget']","['bagus', 'banget']",1.0
1593,Berkembang terus HOK,berkembang terus hok,berkembang terus hok,berkembang terus hok,berkembang terus honor of kings,"['berkembang', 'terus', 'honor', 'of', 'kings']","['berkembang', 'honor', 'of', 'kings']","['kembang', 'honor', 'of', 'kings']",1.0
1594,"Tolong di perbaiki, saya sudah punya akun di hok tapi tiba-tiba tidak bisa masuk dan tulisan yang muncul adalah eror","tolong di perbaiki, saya sudah punya akun di hok tapi tiba-tiba tidak bisa masuk dan tulisan yang muncul adalah eror",tolong di perbaiki saya sudah punya akun di hok tapi tibatiba tidak bisa masuk dan tulisan yang muncul adalah eror,tolong di perbaiki saya sudah punya akun di hok tapi tibatiba tidak bisa masuk dan tulisan yang muncul adalah eror,tolong di perbaiki saya sudah punya akun di honor of kings tapi tiba tidak bisa masuk dan tulisan yang muncul adalah error,"['tolong', 'di', 'perbaiki', 'saya', 'sudah', 'punya', 'akun', 'di', 'honor', 'of', 'kings', 'tapi', 'tiba', 'tidak', 'bisa', 'masuk', 'dan', 'tulisan', 'yang', 'muncul', 'adalah', 'error']","['tolong', 'perbaiki', 'punya', 'akun', 'honor', 'of', 'kings', 'tidak', 'bisa', 'masuk', 'tulisan', 'muncul', 'error']","['tolong', 'baik', 'punya', 'akun', 'honor', 'of', 'kings', 'tidak', 'bisa', 'masuk', 'tulis', 'muncul', 'error']",2.0
1595,mantap,mantap,mantap,mantap,mantap,['mantap'],['mantap'],['mantap'],1.0
1596,Lebih seru ini dari pada mobile legends,lebih seru ini dari pada mobile legends,lebih seru ini dari pada mobile legends,lebih seru ini dari pada mobile legends,lebih seru ini dari pada mobile legends,"['lebih', 'seru', 'ini', 'dari', 'pada', 'mobile', 'legends']","['lebih', 'seru', 'mobile', 'legends']","['lebih', 'seru', 'mobile', 'legends']",1.0
1597,Plagiyat wkwk,plagiyat wkwk,plagiyat wkwk,plagiyat wkwk,plagiat wkwk,"['plagiat', 'wkwk']","['plagiat', 'wkwk']","['plagiat', 'wkwk']",2.0
1598,mantap,mantap,mantap,mantap,mantap,['mantap'],['mantap'],['mantap'],1.0
1599,kerennnnnn,kerennnnnn,kerennnnnn,keren,keren,['keren'],['keren'],['keren'],1.0
1600,game yg sangat bagus,game yg sangat bagus,game yg sangat bagus,game yg sangat bagus,game yang sangat bagus,"['game', 'yang', 'sangat', 'bagus']","['game', 'sangat', 'bagus']","['game', 'sangat', 'bagus']",1.0
1603,Honor of king sangat baik dengan mengirimkan skin gratis kepada saya👍,honor of king sangat baik dengan mengirimkan skin gratis kepada saya👍,honor of king sangat baik dengan mengirimkan skin gratis kepada saya,honor of king sangat baik dengan mengirimkan skin gratis kepada saya,honor of king sangat baik dengan mengirimkan skin gratis kepada saya,"['honor', 'of', 'king', 'sangat', 'baik', 'dengan', 'mengirimkan', 'skin', 'gratis', 'kepada', 'saya']","['honor', 'of', 'king', 'sangat', 'baik', 'mengirimkan', 'skin', 'gratis']","['honor', 'of', 'king', 'sangat', 'baik', 'kirim', 'skin', 'gratis']",1.0
1607,Bagus,bagus,bagus,bagus,bagus,['bagus'],['bagus'],['bagus'],1.0
1608,Cukup berat untuk HP spek rendah,cukup berat untuk hp spek rendah,cukup berat untuk hp spek rendah,cukup berat untuk hp spek rendah,cukup berat untuk hp spesifikasi rendah,"['cukup', 'berat', 'untuk', 'hp', 'spesifikasi', 'rendah']","['berat', 'hp', 'spesifikasi', 'rendah']","['berat', 'hp', 'spesifikasi', 'rendah']",2.0
1609,games nya oke.. grafik oke....,games nya oke.. grafik oke....,games nya oke grafik oke,games nya oke grafik oke,game nya oke grafik oke,"['game', 'nya', 'oke', 'grafik', 'oke']","['game', 'oke', 'grafik', 'oke']","['game', 'oke', 'grafik', 'oke']",1.0
1612,gamenya bgus banget keren lu broo,gamenya bgus banget keren lu broo,gamenya bgus banget keren lu broo,gamenya bgus banget keren lu bro,gamenya bagus banget keren lu kawan,"['gamenya', 'bagus', 'banget', 'keren', 'lu', 'kawan']","['gamenya', 'bagus', 'banget', 'keren', 'kawan']","['gamenya', 'bagus', 'banget', 'keren', 'kawan']",1.0
1613,Seru bet anjirrr lebih seru dari game sebalah,seru bet anjirrr lebih seru dari game sebalah,seru bet anjirrr lebih seru dari game sebalah,seru bet anjir lebih seru dari game sebalah,seru banget anjing lebih seru dari game sebalah,"['seru', 'banget', 'anjing', 'lebih', 'seru', 'dari', 'game', 'sebalah']","['seru', 'banget', 'anjing', 'lebih', 'seru', 'game', 'sebalah']","['seru', 'banget', 'anjing', 'lebih', 'seru', 'game', 'seba']",1.0
1618,Satu kata jelek,satu kata jelek,satu kata jelek,satu kata jelek,satu kata jelek,"['satu', 'kata', 'jelek']",['jelek'],['jelek'],2.0
1619,Saya sangat cinta game hok,saya sangat cinta game hok,saya sangat cinta game hok,saya sangat cinta game hok,saya sangat cinta game honor of kings,"['saya', 'sangat', 'cinta', 'game', 'honor', 'of', 'kings']","['sangat', 'cinta', 'game', 'honor', 'of', 'kings']","['sangat', 'cinta', 'game', 'honor', 'of', 'kings']",1.0
1620,ngeframe pas di tampat cari Mach gua nunggu 30 menit masih ngerafame,ngeframe pas di tampat cari mach gua nunggu 30 menit masih ngerafame,ngeframe pas di tampat cari mach gua nunggu  menit masih ngerafame,ngeframe pas di tampat cari mach gua nungu menit masih ngerafame,ngeframe pas di tempat cari match gua nungu menit masih ngerafame,"['ngeframe', 'pas', 'di', 'tempat', 'cari', 'match', 'gua', 'nungu', 'menit', 'masih', 'ngerafame']","['ngeframe', 'pas', 'cari', 'match', 'nungu', 'menit', 'ngerafame']","['ngeframe', 'pas', 'cari', 'match', 'nungu', 'menit', 'ngerafame']",2.0
1621,aku suka main game ini,aku suka main game ini,aku suka main game ini,aku suka main game ini,aku suka main game ini,"['aku', 'suka', 'main', 'game', 'ini']","['suka', 'main', 'game']","['suka', 'main', 'game']",1.0
1622,bagus,bagus,bagus,bagus,bagus,['bagus'],['bagus'],['bagus'],1.0
1623,Game plagiat,game plagiat,game plagiat,game plagiat,game plagiat,"['game', 'plagiat']","['game', 'plagiat']","['game', 'plagiat']",2.0
1625,menyenangkan g ribet g bikin emosi. ok!!!,menyenangkan g ribet g bikin emosi. ok!!!,menyenangkan g ribet g bikin emosi ok,menyenangkan g ribet g bikin emosi ok,menyenangkan tidak ribet tidak membuat emosi oke,"['menyenangkan', 'tidak', 'ribet', 'tidak', 'membuat', 'emosi', 'oke']","['menyenangkan', 'tidak', 'ribet', 'tidak', 'emosi', 'oke']","['senang', 'tidak', 'ribet', 'tidak', 'emosi', 'oke']",1.0
1626,Oke banyak Hero gratis,oke banyak hero gratis,oke banyak hero gratis,oke banyak hero gratis,oke banyak hero gratis,"['oke', 'banyak', 'hero', 'gratis']","['oke', 'banyak', 'hero', 'gratis']","['oke', 'banyak', 'hero', 'gratis']",1.0
1629,Sering putus koneksi ke server,sering putus koneksi ke server,sering putus koneksi ke server,sering putus koneksi ke server,sering putus koneksi ke server,"['sering', 'putus', 'koneksi', 'ke', 'server']","['sering', 'putus', 'koneksi', 'server']","['sering', 'putus', 'koneksi', 'server']",2.0
1631,Memuaskan para pemain 🥰🥰🥰 semoga jadi gemes no 1 di dunia 🙏,memuaskan para pemain 🥰🥰🥰 semoga jadi gemes no 1 di dunia 🙏,memuaskan para pemain  semoga jadi gemes no  di dunia ,memuaskan para pemain semoga jadi gemes no di dunia ,memuaskan parah pemain semoga jadi game no di dunia,"['memuaskan', 'parah', 'pemain', 'semoga', 'jadi', 'game', 'no', 'di', 'dunia']","['memuaskan', 'parah', 'pemain', 'semoga', 'game', 'no', 'dunia']","['muas', 'parah', 'main', 'moga', 'game', 'no', 'dunia']",1.0
1632,bagus dan seru,bagus dan seru,bagus dan seru,bagus dan seru,bagus dan seru,"['bagus', 'dan', 'seru']","['bagus', 'seru']","['bagus', 'seru']",1.0
1634,Gem nya ngikutin ml,gem nya ngikutin ml,gem nya ngikutin ml,gem nya ngikutin ml,game nya ngikutin ml,"['game', 'nya', 'ngikutin', 'ml']","['game', 'ngikutin', 'ml']","['game', 'ngikutin', 'ml']",2.0
1635,Tolong perbaiki sistem jaringan...sebab jaringan bagus tapi ping sangat tinggi.,tolong perbaiki sistem jaringan...sebab jaringan bagus tapi ping sangat tinggi.,tolong perbaiki sistem jaringansebab jaringan bagus tapi ping sangat tinggi,tolong perbaiki sistem jaringansebab jaringan bagus tapi ping sangat tingi,tolong perbaiki system jariingan sebab jaringan bagus tapi ping sangat tinggi,"['tolong', 'perbaiki', 'system', 'jariingan', 'sebab', 'jaringan', 'bagus', 'tapi', 'ping', 'sangat', 'tinggi']","['tolong', 'perbaiki', 'system', 'jariingan', 'jaringan', 'bagus', 'ping', 'sangat']","['tolong', 'baik', 'system', 'jariingan', 'jaring', 'bagus', 'ping', 'sangat']",2.0
1638,mantapp,mantapp,mantapp,mantap,mantap,['mantap'],['mantap'],['mantap'],1.0
1641,bagus,bagus,bagus,bagus,bagus,['bagus'],['bagus'],['bagus'],1.0
1642,Keren,keren,keren,keren,keren,['keren'],['keren'],['keren'],1.0
1643,"Mekanik nya gak jelas, mending main ml anjim😡😡","mekanik nya gak jelas, mending main ml anjim😡😡",mekanik nya gak jelas mending main ml anjim,mekanik nya gak jelas mending main ml anjim,mekanik nya tidak jelas mending main ml anjing,"['mekanik', 'nya', 'tidak', 'jelas', 'mending', 'main', 'ml', 'anjing']","['mekanik', 'tidak', 'jelas', 'mending', 'main', 'ml', 'anjing']","['mekanik', 'tidak', 'jelas', 'mending', 'main', 'ml', 'anjing']",2.0
1644,game ter tolol,game ter tolol,game ter tolol,game ter tolol,game ter tolol,"['game', 'ter', 'tolol']","['game', 'ter', 'tolol']","['game', 'ter', 'tolol']",2.0
1645,mantap moba in8,mantap moba in8,mantap moba in,mantap moba in,mantap moba in,"['mantap', 'moba', 'in']","['mantap', 'moba', 'in']","['mantap', 'moba', 'in']",1.0
1646,"Gamenya bagus , grafik nya juga bagus . Top lah","gamenya bagus , grafik nya juga bagus . top lah",gamenya bagus  grafik nya juga bagus  top lah,gamenya bagus grafik nya juga bagus top lah,gamenya bagus grafik nya juga bagus top lah,"['gamenya', 'bagus', 'grafik', 'nya', 'juga', 'bagus', 'top', 'lah']","['gamenya', 'bagus', 'grafik', 'bagus', 'top']","['gamenya', 'bagus', 'grafik', 'bagus', 'top']",1.0
1647,GAME KOK PLAGIAT,game kok plagiat,game kok plagiat,game kok plagiat,game malah plagiat,"['game', 'malah', 'plagiat']","['game', 'plagiat']","['game', 'plagiat']",2.0
1648,ok,ok,ok,ok,oke,['oke'],['oke'],['oke'],1.0
1651,lumayan,lumayan,lumayan,lumayan,lumayan,['lumayan'],['lumayan'],['lumayan'],1.0
1653,Aku sangat menyukai game ini game ini sangat bagus,aku sangat menyukai game ini game ini sangat bagus,aku sangat menyukai game ini game ini sangat bagus,aku sangat menyukai game ini game ini sangat bagus,aku sangat menyukai game ini game ini sangat bagus,"['aku', 'sangat', 'menyukai', 'game', 'ini', 'game', 'ini', 'sangat', 'bagus']","['sangat', 'menyukai', 'game', 'game', 'sangat', 'bagus']","['sangat', 'suka', 'game', 'game', 'sangat', 'bagus']",1.0
1657,"Yang kurang adalah matchmaking yang sangat... Saat musuh biasa aja temen gak bisa main,saat temen lumayan jago musuhnya jago banget akir nya hampir gak pernah menang","yang kurang adalah matchmaking yang sangat... saat musuh biasa aja temen gak bisa main,saat temen lumayan jago musuhnya jago banget akir nya hampir gak pernah menang",yang kurang adalah matchmaking yang sangat saat musuh biasa aja temen gak bisa mainsaat temen lumayan jago musuhnya jago banget akir nya hampir gak pernah menang,yang kurang adalah matchmaking yang sangat sat musuh biasa aja temen gak bisa mainsat temen lumayan jago musuhnya jago banget akir nya hampir gak pernah menang,yang kurang adalah matchmaking yang sangat saat musuh biasa saja temen tidak bisa mainsat temen lumayan jago musuhnya jago banget akir nya hampir tidak pernah menang,"['yang', 'kurang', 'adalah', 'matchmaking', 'yang', 'sangat', 'saat', 'musuh', 'biasa', 'saja', 'temen', 'tidak', 'bisa', 'mainsat', 'temen', 'lumayan', 'jago', 'musuhnya', 'jago', 'banget', 'akir', 'nya', 'hampir', 'tidak', 'pernah', 'menang']","['matchmaking', 'sangat', 'musuh', 'temen', 'tidak', 'bisa', 'mainsat', 'temen', 'lumayan', 'jago', 'musuhnya', 'jago', 'banget', 'akir', 'tidak', 'pernah', 'menang']","['matchmaking', 'sangat', 'musuh', 'temen', 'tidak', 'bisa', 'mainsat', 'temen', 'lumayan', 'jago', 'musuh', 'jago', 'banget', 'akir', 'tidak', 'pernah', 'menang']",2.0
1658,game nya bagus terima kasih Tencent,game nya bagus terima kasih tencent,game nya bagus terima kasih tencent,game nya bagus terima kasih tencent,game nya bagus terima kasih tencent,"['game', 'nya', 'bagus', 'terima', 'kasih', 'tencent']","['game', 'bagus', 'terima', 'kasih', 'tencent']","['game', 'bagus', 'terima', 'kasih', 'tencent']",1.0
1660,"bagus tapi kadang ngelag bahkan ngelag bgt, sampai hapus download terus karna kesal","bagus tapi kadang ngelag bahkan ngelag bgt, sampai hapus download terus karna kesal",bagus tapi kadang ngelag bahkan ngelag bgt sampai hapus download terus karna kesal,bagus tapi kadang ngelag bahkan ngelag bgt sampai hapus download terus karna kesal,bagus tapi kadang ngelag bahkan ngelag banget sampai hapus download terus karena kesal,"['bagus', 'tapi', 'kadang', 'ngelag', 'bahkan', 'ngelag', 'banget', 'sampai', 'hapus', 'download', 'terus', 'karena', 'kesal']","['bagus', 'kadang', 'ngelag', 'ngelag', 'banget', 'hapus', 'download', 'kesal']","['bagus', 'kadang', 'ngelag', 'ngelag', 'banget', 'hapus', 'download', 'kesal']",2.0
1661,Gg gamenya👍🏾 GK kayak mlbb banyak tim bot 😒😒,gg gamenya👍🏾 gk kayak mlbb banyak tim bot 😒😒,gg gamenya gk kayak mlbb banyak tim bot ,g gamenya gk kayak mlb banyak tim bot ,tidak gamenya tidak seperti mlbb banyak tim bot,"['tidak', 'gamenya', 'tidak', 'seperti', 'mlbb', 'banyak', 'tim', 'bot']","['tidak', 'gamenya', 'tidak', 'mlbb', 'banyak', 'tim', 'bot']","['tidak', 'gamenya', 'tidak', 'mlbb', 'banyak', 'tim', 'bot']",1.0
1662,Goblog game peniru huuuu,goblog game peniru huuuu,goblog game peniru huuuu,goblog game peniru hu,goblok game peniru hu,"['goblok', 'game', 'peniru', 'hu']","['goblok', 'game', 'peniru', 'hu']","['goblok', 'game', 'tiru', 'hu']",2.0
1663,"minus kebanyakan hero nama cina, susah ngafalin nya","minus kebanyakan hero nama cina, susah ngafalin nya",minus kebanyakan hero nama cina susah ngafalin nya,minus kebanyakan hero nama cina susah ngafalin nya,minus kebanyakan hero nama china susah ngafalin nya,"['minus', 'kebanyakan', 'hero', 'nama', 'china', 'susah', 'ngafalin', 'nya']","['minus', 'kebanyakan', 'hero', 'nama', 'china', 'susah', 'ngafalin']","['minus', 'banyak', 'hero', 'nama', 'china', 'susah', 'ngafalin']",2.0
1664,suka,suka,suka,suka,suka,['suka'],['suka'],['suka'],1.0
1665,"Halah tampilan nya masih bagus ml, mending lebih di modifikasi biar gak burik tampilannya","halah tampilan nya masih bagus ml, mending lebih di modifikasi biar gak burik tampilannya",halah tampilan nya masih bagus ml mending lebih di modifikasi biar gak burik tampilannya,halah tampilan nya masih bagus ml mending lebih di modifikasi biar gak burik tampilanya,halah tampilan nya masih bagus ml mending lebih di modifikasi biar tidak burik tampilanya,"['halah', 'tampilan', 'nya', 'masih', 'bagus', 'ml', 'mending', 'lebih', 'di', 'modifikasi', 'biar', 'tidak', 'burik', 'tampilanya']","['halah', 'tampilan', 'bagus', 'ml', 'mending', 'lebih', 'modifikasi', 'biar', 'tidak', 'burik', 'tampilanya']","['halah', 'tampil', 'bagus', 'ml', 'mending', 'lebih', 'modifikasi', 'biar', 'tidak', 'burik', 'tampilanya']",2.0
1669,Niruu mll woyy,niruu mll woyy,niruu mll woyy,niru ml woy,plagiat ml woy,"['plagiat', 'ml', 'woy']","['plagiat', 'ml', 'woy']","['plagiat', 'ml', 'woy']",2.0
1670,Cakepan ml,cakepan ml,cakepan ml,cakepan ml,cakepan ml,"['cakepan', 'ml']","['cakepan', 'ml']","['cakep', 'ml']",2.0
1673,hebat,hebat,hebat,hebat,hebat,['hebat'],['hebat'],['hebat'],1.0
1676,𝚂𝚊𝚗𝚐𝚊𝚝 𝚋𝚊𝚐𝚞𝚜,𝚂𝚊𝚗𝚐𝚊𝚝 𝚋𝚊𝚐𝚞𝚜, , ,,[],[],[],1.0
1679,Mantap,mantap,mantap,mantap,mantap,['mantap'],['mantap'],['mantap'],1.0
1683,Kacau ini game tier diamon ketemu tim ampas mulu,kacau ini game tier diamon ketemu tim ampas mulu,kacau ini game tier diamon ketemu tim ampas mulu,kacau ini game tier diamon ketemu tim ampas mulu,kacau ini game tier diamond ketemu tim ampas mulu,"['kacau', 'ini', 'game', 'tier', 'diamond', 'ketemu', 'tim', 'ampas', 'mulu']","['kacau', 'game', 'tier', 'diamond', 'ketemu', 'tim', 'ampas', 'mulu']","['kacau', 'game', 'tier', 'diamond', 'ketemu', 'tim', 'ampas', 'mulu']",2.0
1684,sangat bagus,sangat bagus,sangat bagus,sangat bagus,sangat bagus,"['sangat', 'bagus']","['sangat', 'bagus']","['sangat', 'bagus']",1.0
1685,Game dengan voice chat terbagus pokoknya bisa nglahin ml,game dengan voice chat terbagus pokoknya bisa nglahin ml,game dengan voice chat terbagus pokoknya bisa nglahin ml,game dengan voice chat terbagus pokoknya bisa nglahin ml,game dengan voice chat terbagus pokoknya bisa nglahin ml,"['game', 'dengan', 'voice', 'chat', 'terbagus', 'pokoknya', 'bisa', 'nglahin', 'ml']","['game', 'voice', 'chat', 'terbagus', 'pokoknya', 'bisa', 'nglahin', 'ml']","['game', 'voice', 'chat', 'bagus', 'pokok', 'bisa', 'nglahin', 'ml']",1.0
1686,bagus banget,bagus banget,bagus banget,bagus banget,bagus banget,"['bagus', 'banget']","['bagus', 'banget']","['bagus', 'banget']",1.0
1688,game nya melebihi game sebelah😂 mantap lah ok,game nya melebihi game sebelah😂 mantap lah ok,game nya melebihi game sebelah mantap lah ok,game nya melebihi game sebelah mantap lah ok,game nya melebihi game sebelah mantap lah oke,"['game', 'nya', 'melebihi', 'game', 'sebelah', 'mantap', 'lah', 'oke']","['game', 'melebihi', 'game', 'sebelah', 'mantap', 'oke']","['game', 'lebih', 'game', 'belah', 'mantap', 'oke']",1.0
1693,asik sih,asik sih,asik sih,asik sih,asik sih,"['asik', 'sih']","['asik', 'sih']","['asik', 'sih']",1.0
1694,Gasuka grafik nya buriq bagusan mlbb huu game buriq,gasuka grafik nya buriq bagusan mlbb huu game buriq,gasuka grafik nya buriq bagusan mlbb huu game buriq,gasuka grafik nya buriq bagusan mlb hu game buriq,gasuka grafik nya burik bagusan mlbb hu game burik,"['gasuka', 'grafik', 'nya', 'burik', 'bagusan', 'mlbb', 'hu', 'game', 'burik']","['gasuka', 'grafik', 'burik', 'bagusan', 'mlbb', 'hu', 'game', 'burik']","['gasuka', 'grafik', 'burik', 'bagus', 'mlbb', 'hu', 'game', 'burik']",2.0
1695,Lebih gak lag daripada MLBB,lebih gak lag daripada mlbb,lebih gak lag daripada mlbb,lebih gak lag daripada mlb,lebih tidak lag daripada mlbb,"['lebih', 'tidak', 'lag', 'daripada', 'mlbb']","['lebih', 'tidak', 'lag', 'mlbb']","['lebih', 'tidak', 'lag', 'mlbb']",1.0
1697,seru,seru,seru,seru,seru,['seru'],['seru'],['seru'],1.0
1698,muantap,muantap,muantap,muantap,muantap,['muantap'],['muantap'],['muantap'],1.0
1699,game nya keren abis .....,game nya keren abis .....,game nya keren abis ,game nya keren abis ,game nya keren abis,"['game', 'nya', 'keren', 'abis']","['game', 'keren', 'abis']","['game', 'keren', 'abis']",1.0
1700,Bagus,bagus,bagus,bagus,bagus,['bagus'],['bagus'],['bagus'],1.0
1703,Game nya bagus banget aku suka grafiknya bagus kali kalian wajib download nih,game nya bagus banget aku suka grafiknya bagus kali kalian wajib download nih,game nya bagus banget aku suka grafiknya bagus kali kalian wajib download nih,game nya bagus banget aku suka grafiknya bagus kali kalian wajib download nih,game nya bagus banget aku suka grafiknya bagus kali kalian wajib download ini,"['game', 'nya', 'bagus', 'banget', 'aku', 'suka', 'grafiknya', 'bagus', 'kali', 'kalian', 'wajib', 'download', 'ini']","['game', 'bagus', 'banget', 'suka', 'grafiknya', 'bagus', 'kali', 'wajib', 'download']","['game', 'bagus', 'banget', 'suka', 'grafik', 'bagus', 'kali', 'wajib', 'download']",1.0
1704,"TERBAIK GAME DARIPADA MOBILE LEGENDS, GRAFIK OKE","terbaik game daripada mobile legends, grafik oke",terbaik game daripada mobile legends grafik oke,terbaik game daripada mobile legends grafik oke,terbaik game daripada mobile legends grafik oke,"['terbaik', 'game', 'daripada', 'mobile', 'legends', 'grafik', 'oke']","['terbaik', 'game', 'mobile', 'legends', 'grafik', 'oke']","['baik', 'game', 'mobile', 'legends', 'grafik', 'oke']",1.0
1706,"Ringan, jarang lag, rekomendasi banget sih","ringan, jarang lag, rekomendasi banget sih",ringan jarang lag rekomendasi banget sih,ringan jarang lag rekomendasi banget sih,ringan jarang lag rekomendasi banget sih,"['ringan', 'jarang', 'lag', 'rekomendasi', 'banget', 'sih']","['ringan', 'jarang', 'lag', 'rekomendasi', 'banget', 'sih']","['ringan', 'jarang', 'lag', 'rekomendasi', 'banget', 'sih']",1.0
1708,keren mudah dipahami,keren mudah dipahami,keren mudah dipahami,keren mudah dipahami,keren mudah dipahami,"['keren', 'mudah', 'dipahami']","['keren', 'mudah', 'dipahami']","['keren', 'mudah', 'paham']",1.0
1710,ok,ok,ok,ok,oke,['oke'],['oke'],['oke'],1.0
1711,Ini saya sudah 2x top up tapi gagal. Saldo sudah tersedot. Tolong bantuannya,ini saya sudah 2x top up tapi gagal. saldo sudah tersedot. tolong bantuannya,ini saya sudah x top up tapi gagal saldo sudah tersedot tolong bantuannya,ini saya sudah x top up tapi gagal saldo sudah tersedot tolong bantuanya,ini saya sudah x top up tapi gagal saldo sudah tersedot tolong bantuannya,"['ini', 'saya', 'sudah', 'x', 'top', 'up', 'tapi', 'gagal', 'saldo', 'sudah', 'tersedot', 'tolong', 'bantuannya']","['x', 'top', 'up', 'gagal', 'saldo', 'tersedot', 'tolong', 'bantuannya']","['x', 'top', 'up', 'gagal', 'saldo', 'sedot', 'tolong', 'bantu']",2.0
1714,Game nya susah sering kalah muluk jadi cepet bosen main nya,game nya susah sering kalah muluk jadi cepet bosen main nya,game nya susah sering kalah muluk jadi cepet bosen main nya,game nya susah sering kalah muluk jadi cepet bosen main nya,game nya susah sering kalah mulu jadi cepet bosen main nya,"['game', 'nya', 'susah', 'sering', 'kalah', 'mulu', 'jadi', 'cepet', 'bosen', 'main', 'nya']","['game', 'susah', 'sering', 'kalah', 'mulu', 'cepet', 'bosen', 'main']","['game', 'susah', 'sering', 'kalah', 'mulu', 'cepet', 'bosen', 'main']",2.0
1715,GAME NYA BAGUS,game nya bagus,game nya bagus,game nya bagus,game nya bagus,"['game', 'nya', 'bagus']","['game', 'bagus']","['game', 'bagus']",1.0
1716,Jangan di download. Pas naik rank bakal dikasih tim bot kalian.,jangan di download. pas naik rank bakal dikasih tim bot kalian.,jangan di download pas naik rank bakal dikasih tim bot kalian,jangan di download pas naik rank bakal dikasih tim bot kalian,jangan di download pas naik rank bakal dikasih tim bot kalian,"['jangan', 'di', 'download', 'pas', 'naik', 'rank', 'bakal', 'dikasih', 'tim', 'bot', 'kalian']","['jangan', 'download', 'pas', 'naik', 'rank', 'dikasih', 'tim', 'bot']","['jangan', 'download', 'pas', 'naik', 'rank', 'kasih', 'tim', 'bot']",2.0
1717,Plagiat,plagiat,plagiat,plagiat,plagiat,['plagiat'],['plagiat'],['plagiat'],2.0
1719,Kurangin size nya,kurangin size nya,kurangin size nya,kurangin size nya,kurangin size nya,"['kurangin', 'size', 'nya']","['kurangin', 'size']","['rangin', 'size']",2.0
1720,Semoga lancar dan bagus,semoga lancar dan bagus,semoga lancar dan bagus,semoga lancar dan bagus,semoga lancar dan bagus,"['semoga', 'lancar', 'dan', 'bagus']","['semoga', 'lancar', 'bagus']","['moga', 'lancar', 'bagus']",1.0
1721,keren banget,keren banget,keren banget,keren banget,keren banget,"['keren', 'banget']","['keren', 'banget']","['keren', 'banget']",1.0
1722,mantap,mantap,mantap,mantap,mantap,['mantap'],['mantap'],['mantap'],1.0
1723,keren,keren,keren,keren,keren,['keren'],['keren'],['keren'],1.0
1725,Game ini sangat bgus dan banyak skin gratisnya dan cara dapatnya cuman login aja,game ini sangat bgus dan banyak skin gratisnya dan cara dapatnya cuman login aja,game ini sangat bgus dan banyak skin gratisnya dan cara dapatnya cuman login aja,game ini sangat bgus dan banyak skin gratisnya dan cara dapatnya cuman login aja,game ini sangat bagus dan banyak skin gratisnya dan cara dapatnya cuman login saja,"['game', 'ini', 'sangat', 'bagus', 'dan', 'banyak', 'skin', 'gratisnya', 'dan', 'cara', 'dapatnya', 'cuman', 'login', 'saja']","['game', 'sangat', 'bagus', 'banyak', 'skin', 'gratisnya', 'dapatnya', 'cuman', 'login']","['game', 'sangat', 'bagus', 'banyak', 'skin', 'gratis', 'dapat', 'cuman', 'login']",1.0
1726,asik😄😄😄😄,asik😄😄😄😄,asik,asik,asik,['asik'],['asik'],['asik'],1.0
1727,bagus dan simpel,bagus dan simpel,bagus dan simpel,bagus dan simpel,bagus dan simpel,"['bagus', 'dan', 'simpel']","['bagus', 'simpel']","['bagus', 'simpel']",1.0
1728,lebih bagus dari ml,lebih bagus dari ml,lebih bagus dari ml,lebih bagus dari ml,lebih bagus dari ml,"['lebih', 'bagus', 'dari', 'ml']","['lebih', 'bagus', 'ml']","['lebih', 'bagus', 'ml']",1.0
1730,mantap gamenya,mantap gamenya,mantap gamenya,mantap gamenya,mantap gamenya,"['mantap', 'gamenya']","['mantap', 'gamenya']","['mantap', 'gamenya']",1.0
